Date,open,High,Low,Close,Volume,Dividends,Stock Splits,timestamp
2015-04-09,18.229101181030273,18.229101181030273,18.13153171480591,18.229101181030273,400,0.0,0,1428537600
2015-04-10,18.359195385299483,18.367326304544818,18.334802627563477,18.334802627563477,500,0.0,0,1428624000
2015-04-13,18.473026219146984,18.473026219146984,18.428308486938477,18.428308486938477,800,0.0,0,1428883200
2015-04-14,18.635639096003615,18.635639096003615,18.155925750732422,18.155925750732422,3400,0.0,0,1428969600
2015-04-15,18.31041134523724,18.31041134523724,18.261625829966132,18.30228042602539,700,0.0,0,1429056000
2015-04-16,17.967292141956946,18.65190059285968,17.967292141956946,18.60311508178711,3300,0.0,0,1429142400
2015-04-17,18.635637586681227,18.635637586681227,18.177064977230543,18.188447952270508,10300,0.0,0,1429228800
2015-04-20,18.432371139526367,18.432371139526367,18.326672296517422,18.432371139526367,1100,0.0,0,1429488000
2015-04-21,18.570592568554755,18.570592568554755,18.53400421142578,18.53400421142578,700,0.0,0,1429574400
2015-04-22,18.66003385662451,18.66003385662451,18.63564109802246,18.63564109802246,2200,0.0,0,1429660800
2015-04-23,18.700684511595565,18.838907024366012,18.619376877469282,18.82264518737793,1600,0.0,0,1429747200
2015-04-24,19.042177280482647,19.042177280482647,18.81045150756836,18.81045150756836,7300,0.0,0,1429833600
2015-04-27,19.050306538779815,19.050306538779815,18.862485885620117,18.862485885620117,600,0.0,0,1430092800
2015-04-28,18.90395475358515,18.90395475358515,18.81045150756836,18.81045150756836,1900,0.0,0,1430179200
2015-04-29,18.39578302010246,18.716947338947172,18.39578302010246,18.700685501098633,1900,0.0,0,1430265600
2015-04-30,18.52993916865053,18.52993916865053,18.1965777263708,18.245363235473633,3100,0.0,0,1430352000
2015-05-01,18.245364600674858,18.245364600674858,18.060796000801766,18.204710006713867,6000,0.0,0,1430438400
2015-05-04,18.261625398119097,18.269756317138672,18.261625398119097,18.269756317138672,600,0.0,0,1430697600
2015-05-05,17.968917846679688,17.968917846679688,17.968917846679688,17.968917846679688,200,0.0,0,1430784000
2015-05-06,18.131531718964872,18.196577512858017,17.903872215745896,17.991683959960938,1800,0.0,0,1430870400
2015-05-07,18.196577072143555,18.196577072143555,18.196577072143555,18.196577072143555,200,0.0,0,1430956800
2015-05-08,18.36326050132477,18.367326736450195,18.36326050132477,18.367326736450195,900,0.0,0,1431043200
2015-05-11,18.416109007483847,18.416109007483847,18.34293229010356,18.383586883544922,1400,0.0,0,1431302400
2015-05-12,18.02583543657487,18.14779612353341,18.02583543657487,18.08275032043457,1400,0.0,0,1431388800
2015-05-13,18.46408211622732,18.46408211622732,18.39984893798828,18.39984893798828,300,0.0,0,1431475200
2015-05-14,18.619376104254897,18.619376104254897,18.48928451538086,18.48928451538086,900,0.0,0,1431561600
2015-05-15,18.619377678120472,18.660032272338867,18.619377678120472,18.660032272338867,500,0.0,0,1431648000
2015-05-18,18.627507315753224,18.764917198376132,18.627507315753224,18.73320770263672,1400,0.0,0,1431907200
2015-05-19,18.757599203379037,18.781991958618164,18.74133736655295,18.781991958618164,1000,0.0,0,1431993600
2015-05-20,18.741337040410034,18.757598876953125,18.733207672952577,18.757598876953125,1800,0.0,0,1432080000
2015-05-21,18.895824845144883,18.94054412841797,18.895824845144883,18.94054412841797,1000,0.0,0,1432166400
2015-05-22,19.01778224122235,19.01778224122235,18.985260118637587,18.993391036987305,3800,0.0,0,1432252800
2015-05-26,18.993391414935086,18.993391414935086,18.825897285063373,18.828336715698242,3300,0.0,0,1432598400
2015-05-27,18.83077595744066,19.03404426574707,18.814514120580757,19.03404426574707,800,0.0,0,1432684800
2015-05-28,19.02591353426191,19.074697494506836,19.009651697242223,19.074697494506836,2600,0.0,0,1432771200
2015-05-29,19.082828155278968,19.082828155278968,18.80638313293457,18.80638313293457,800,0.0,0,1432857600
2015-06-01,18.944606595473633,18.944606595473633,18.903953552246094,18.903953552246094,500,0.0,0,1433116800
2015-06-02,18.903953257540014,18.903953257540014,18.85516929626465,18.85516929626465,1200,0.0,0,1433203200
2015-06-03,19.009651431791173,19.009651431791173,18.90395259426746,19.001522064208984,1900,0.0,0,1433289600
2015-06-04,19.180397599246607,19.180397599246607,18.788496017456055,18.788496017456055,5700,0.0,0,1433376000
2015-06-05,19.034042344549732,19.064126584622592,19.017780509331217,19.04623794555664,2700,0.0,0,1433462400
2015-06-08,19.025914014329476,19.042175851759488,18.83646810563096,18.887691497802734,2400,0.0,0,1433721600
2015-06-09,18.700684511595565,18.82264518737793,18.700684511595565,18.82264518737793,500,0.0,0,1433808000
2015-06-10,19.139745386838392,19.139745386838392,19.115352630615234,19.115352630615234,1600,0.0,0,1433894400
2015-06-11,19.107221603393555,19.107221603393555,19.107221603393555,19.107221603393555,300,0.0,0,1433980800
2015-06-12,19.050306036546964,19.050306036546964,19.010465621948242,19.010465621948242,500,0.0,0,1434067200
2015-06-15,18.977128875331292,18.977128875331292,18.947858810424805,18.947858810424805,700,0.0,0,1434326400
2015-06-16,18.95273714504235,19.077951431274414,18.95273714504235,19.077951431274414,2900,0.0,0,1434412800
2015-06-17,19.115352630615234,19.115352630615234,19.115352630615234,19.115352630615234,2000,0.0,0,1434499200
2015-06-18,19.188529803118406,19.42106819152832,19.188529803118406,19.42106819152832,900,0.0,0,1434585600
2015-06-19,19.375534057617188,19.375534057617188,19.351141303621677,19.375534057617188,1900,0.0,0,1434672000
2015-06-22,19.546281814575195,19.546281814575195,19.546281814575195,19.546281814575195,1000,0.0,0,1434931200
2015-06-23,19.481235319639286,19.481235319639286,19.33976074061173,19.440582275390625,1400,0.0,0,1435017600
